"","today","region","district","hh_id","shed","a13","b01","b02","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.11","c07.12","c07.13","c07.14","c07.15","c07.99","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e18","e18a","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11c_other","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15"
"1","2020-11-27","Western","KIBOGA","M_43","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",25000,30000,10037500,"Liters",20000,25000,8212500,-0.181818181818182,"11 14 13",1,0,1,1,0,0,"",2,1,18,6,4,0,2,NA,2,"3 4 5",0,0,1,1,1,0,"",1,3,NA,2,NA,NA,1,2,NA,2,NA,3,NA,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,"Gesa helps in capacity building for both workers and farmers.",4,4,10,1,2,1,2,2,2,2,2,4,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",4,3
"2","2020-11-27","Western","KIBOGA","M_40","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1200,2700,711750,"Liters",1500,5000,1186250,0.666666666666667,"14 11",1,0,0,1,0,0,"",3,1,2,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,2,2,NA,2,NA,3,NA,2,2,NA,2,2,2,1,1,2,2,2,1,1,1,2,2,2,"",4,2,0,1,1,1,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,4
"3","2020-11-27","Western","KIBOGA","M_41","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2000,4000,1095000,"Liters",3000,4500,1368750,0.25,"11 13",1,0,1,0,0,0,"",3,1,3,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,3,NA,3,NA,2,2,NA,1,1,1,1,1,2,2,2,1,1,2,2,2,1,"They train workers on proper handdling of milk and provide more training in capacity building.",3,1,0,1,1,1,2,2,2,2,2,5,1,"3 2 4",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",4,2
"4","2020-11-27","Western","KIRUHURA","M_11","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1200,1600,511000,"Liters",900,1500,438000,-0.142857142857143,"14 11",1,0,0,1,0,0,"",3,1,2,1,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,2,NA,4,3,1,1,2,1,2,1,1,1,2,6,6,1,1,2,2,2,2,"",3,1,0,1,2,2,2,2,2,2,2,4,1,"2",0,1,0,0,0,"",4,"",NA,NA,NA,NA,"",3,2
"5","2020-11-27","Western","KIRUHURA","M_4","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",600,1200,328500,"Liters",700,900,292000,-0.111111111111111,"99 11",1,0,0,0,0,1,"Alot of competition by the newly established dairies.",3,1,3,0,2,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,4,2,NA,1,NA,3,NA,2,2,NA,1,2,1,1,1,2,2,2,1,1,2,2,2,2,"",3,1,0,1,1,1,1,2,2,2,2,4,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",4,2
"6","2020-11-27","Western","KIRUHURA","M_18","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,2500,730000,"Liters",1100,1800,529250,-0.275,"11",1,0,0,0,0,0,"",3,1,3,0,0,0,1,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,2,NA,2,NA,NA,4,1,5,2,NA,4,3,2,2,NA,1,1,1,1,1,3,2,2,1,1,2,2,2,2,"",4,5,0,1,1,1,2,1,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,2
"7","2020-11-27","Western","MASINDI","M_69","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1000,2000,547500,"Liters",300,500,146000,-0.733333333333333,"14",0,0,0,1,0,0,"",1,1,2,2,0,0,2,NA,2,"4",0,0,0,1,0,0,"",1,3,NA,2,NA,NA,4,1,18,2,NA,2,2,1,1,2,2,2,1,2,1,1,2,3,1,2,NA,2,2,2,"",4,5,0,1,1,1,1,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3
"8","2020-11-27","Western","NAKASEKE","M_72","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",400,2600,547500,"Liters",1600,3800,985500,0.8,"14",0,0,0,1,0,0,"",3,1,3,0,1,0,2,NA,2,"99",0,0,0,0,0,1,"More school dropouts looking for jobs",2,NA,NA,2,NA,NA,4,2,NA,2,NA,2,3,2,2,NA,2,2,1,2,1,4,2,2,1,1,1,2,2,2,"",2,2,0,2,2,2,2,2,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,4
"9","2020-11-27","Western","NAKASEKE","M_88","C",2,"2020-01-01","5",1,0,0,0,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"10","2020-11-27","Western","NAKASEKE","M_82","C",2,"2020-06-01","5 7",1,0,1,0,"",1,1,2,1,2,1,1,1,1,1,"Residents were selling bad quality milk",2,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"11","2020-11-27","Western","NAKASEKE","M_84","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2500,8000,1916250,"Liters",6000,8000,2555000,0.333333333333333,"99",0,0,0,0,0,1,"Poor road network",3,1,2,0,4,0,2,NA,2,"5",0,0,0,0,1,0,"",1,3,NA,2,NA,NA,4,2,NA,3,NA,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,NA,2,2,2,"",4,4,0,2,2,1,1,1,2,2,2,5,1,"3 2",0,1,1,0,0,"",4,"",NA,NA,NA,NA,"",4,4
"12","2020-11-27","Western","NAKASEKE","M_79","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2000,3500,1003750,"Liters",1500,2500,730000,-0.272727272727273,"13 11 14",1,0,1,1,0,0,"",1,1,4,4,1,0,4,NA,1,"4",0,0,0,1,0,0,"",2,NA,NA,2,NA,NA,4,2,NA,1,NA,2,2,1,1,3,2,2,2,1,1,2,2,2,1,1,3,2,2,2,"",4,5,0,1,1,1,1,1,1,1,1,4,1,"4 2 3",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",5,5
"13","2020-11-27","Western","NAKASEKE","M_75","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,2700,766500,"Liters",1500,1500,547500,-0.285714285714286,"13",0,0,1,0,0,0,"",3,1,3,3,2,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,5,2,NA,3,NA,2,3,1,1,3,1,1,1,1,1,4,2,2,1,1,3,2,2,2,"",2,5,10,1,1,1,2,1,1,1,1,4,1,"4",0,0,0,1,0,"",4,"",NA,NA,NA,NA,"",5,5
"14","2020-11-27","Western","KIRUHURA","M_1","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2000,4000,1095000,"Liters",2500,6000,1551250,0.416666666666667,"14 11",1,0,0,1,0,0,"",3,1,3,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,1,4,NA,3,2,NA,2,NA,2,3,1,1,1,1,1,2,1,1,4,2,2,1,1,1,2,2,2,"",3,4,0,2,2,2,2,2,2,2,2,4,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",3,2
"15","2020-11-29","Western","KIRUHURA","M_24","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",7000,10500,3193750,"Liters",7000,11000,3285000,0.028571428571429,"",NA,NA,NA,NA,NA,NA,"",NA,1,2,0,12,0,4,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,3,NA,1,1,1,2,2,2,2,2,3,2,2,1,1,1,2,2,2,"",3,4,0,2,2,2,2,2,2,2,2,4,1,"2 1",1,1,0,0,0,"",4,"",NA,NA,NA,NA,"",3,2
"16","2020-11-29","Western","KYANKWANZI","M_56","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",900,2500,620500,"Liters",800,1600,438000,-0.294117647058823,"15 12 11",1,1,0,0,1,0,"",2,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,3,NA,1,1,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,"",3,5,1,1,2,2,2,2,2,2,2,5,1,"3 2 4",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",3,1
"17","2020-11-29","Western","KYANKWANZI","M_54","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,2500,730000,"Liters",2700,3000,1040250,0.425,"11 99",1,0,0,0,0,1,"good payments to the farmers",3,1,4,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,1,30,1,NA,2,3,1,1,1,2,2,2,2,2,3,2,2,1,1,1,2,1,1,"cans, medicines for treating cans",3,2,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,2
"18","2020-11-30","Western","KIRUHURA","M_5","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,2800,784750,"Liters",1400,2500,711750,-0.093023255813954,"",NA,NA,NA,NA,NA,NA,"",NA,1,2,0,1,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,2,2,NA,3,NA,4,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,"",3,2,0,1,2,1,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,2
"19","2020-11-30","Western","KIBOGA","M_38","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",4000,5000,1642500,"Liters",4800,8000,2336000,0.422222222222222,"11",1,0,0,0,0,0,"",3,1,4,1,0,0,1,NA,2,"3 4",0,0,1,1,0,0,"",2,NA,NA,1,3,NA,1,2,NA,1,NA,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,"Training of workers and farmers on better farming on better farming methods to boost their output.",3,1,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",5,3
"20","2020-11-30","Western","KIRUHURA","M_32","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",3000,5000,1460000,"Liters",6000,6400,2263000,0.55,"11",1,0,0,0,0,0,"",3,1,2,2,1,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,3,NA,2,2,NA,1,1,1,1,1,3,2,2,1,1,1,1,2,2,"",3,2,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,3
"21","2020-11-30","Western","KIRUHURA","M_12","",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1600,2500,748250,"Liters",1700,2800,821250,0.097560975609756,"",NA,NA,NA,NA,NA,NA,"",NA,1,4,0,4,0,1,NA,1,"3",0,0,1,0,0,0,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,1,3,1,1,2,1,1,1,1,1,2,4,4,1,1,2,2,2,2,"",4,4,0,2,2,2,2,2,2,2,2,4,1,"3 4 2",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",4,4
"22","2020-11-30","Western","NAKASEKE","M_76","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",3500,6000,1733750,"Liters",4000,4500,1551250,-0.105263157894737,"11",1,0,0,0,0,0,"",2,1,3,0,0,0,4,NA,2,"4",0,0,0,1,0,0,"",2,NA,NA,2,NA,NA,4,2,NA,3,NA,2,3,1,1,3,2,2,1,2,1,4,4,4,1,1,2,1,2,2,"",4,4,0,1,1,1,1,1,1,2,2,2,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",4,4
"23","2020-11-30","Western","KYANKWANZI","M_51","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",800,1300,383250,"Liters",900,1900,511000,0.333333333333333,"11 14",1,0,0,1,0,0,"",3,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,1,30,1,NA,3,NA,1,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,"",3,2,0,1,1,2,1,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,2
"24","2020-11-30","Western","KYANKWANZI","M_62","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",700,1000,310250,"Liters",700,2000,492750,0.588235294117647,"11",1,0,0,0,0,0,"",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,4,3,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,"",4,4,0,1,1,1,2,1,2,2,2,4,1,"3 4 99",0,0,1,1,1,"competition",1,"99",0,0,0,1,"posho",4,2
