"","today","region","district","hh_id","shed","a13","b01","b02","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.11","c07.12","c07.13","c07.14","c07.15","c07.99","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e18","e18a","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11c_other","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15"
"25","2020-11-30","Western","KYANKWANZI","M_48","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2000,2700,857750,"Liters",2800,4000,1241000,0.446808510638298,"11 13",1,0,1,0,0,0,"",3,1,3,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,3,NA,1,3,NA,3,2,NA,1,NA,2,3,1,1,1,2,1,2,1,2,3,2,2,1,1,1,2,2,2,"",3,3,0,1,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",1,1
"26","2020-11-30","Western","MASINDI","M_64","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2800,1800,839500,"Liters",2700,3000,1040250,0.239130434782609,"11 14",1,0,0,1,0,0,"",3,1,2,0,2,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,"",3,2,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",1,1
"27","2020-11-30","Western","KYANKWANZI","M_52","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",800,1500,419750,"Liters",800,1500,419750,0,"",NA,NA,NA,NA,NA,NA,"",NA,1,2,0,2,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,4,NA,2,NA,NA,3,2,NA,1,NA,3,NA,1,1,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,"",3,2,0,1,1,2,1,1,1,1,1,4,1,"2 3 4",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",3,1
"28","2020-12-01","Western","KIRUHURA","M_10","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2000,4000,1095000,"Liters",2000,4200,1131500,0.033333333333333,"",NA,NA,NA,NA,NA,NA,"",NA,1,2,1,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,3,NA,2,NA,NA,2,2,NA,1,NA,3,NA,2,2,NA,1,1,1,1,1,3,2,2,1,1,2,2,2,2,"",2,1,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",5,"2",0,1,0,0,"",3,3
"29","2020-12-01","Western","KIRUHURA","M_25","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2800,3600,1168000,"Liters",2300,2800,930750,-0.203125,"11",1,0,0,0,0,0,"",3,1,3,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,3,NA,2,3,2,2,NA,2,2,1,1,1,2,2,2,1,1,2,1,2,2,"",2,99,0,1,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,3
"30","2020-12-02","Western","KIRUHURA","M_13","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1700,3700,985500,"Liters",1500,1700,584000,-0.407407407407407,"11 15",1,0,0,0,1,0,"",2,1,2,1,0,0,4,NA,2,"3 2 4",0,1,1,1,0,0,"",1,1,NA,2,NA,NA,2,1,24,2,NA,4,2,2,2,NA,1,1,1,1,1,2,2,2,1,1,2,2,2,2,"",2,4,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,3
"31","2020-12-02","Western","KIRUHURA","M_28","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",3500,5000,1551250,"Liters",3400,4500,1441750,-0.070588235294118,"",NA,NA,NA,NA,NA,NA,"",NA,1,6,1,0,0,2,NA,2,"3 4",0,0,1,1,0,0,"",2,NA,NA,2,NA,NA,3,2,NA,2,NA,3,NA,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,"",3,1,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",1,"2",0,1,0,0,"",4,3
"32","2020-12-02","Western","KIRUHURA","M_36","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2200,3000,949000,"Liters",1800,2800,839500,-0.115384615384615,"11 14 12",1,1,0,1,0,0,"",3,1,2,1,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,3,NA,2,2,NA,2,2,2,1,1,1,2,2,1,1,2,2,2,2,"",3,1,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3
"33","2020-12-02","Western","KIRUHURA","M_34","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",950,2000,538375,"Liters",1100,1300,438000,-0.186440677966102,"11 14 12",1,1,0,1,0,0,"",2,1,4,0,0,0,4,NA,2,"5 1",1,0,0,0,1,0,"",2,NA,NA,2,NA,NA,2,2,NA,2,NA,4,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,"",3,1,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3
"34","2020-12-03","Western","KIRUHURA","M_27","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1800,3600,985500,"Liters",1200,2700,711750,-0.277777777777778,"11 14 99",1,0,0,1,0,1,"competition  ",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,1,70,1,NA,2,3,1,1,1,2,2,2,2,2,4,2,2,1,1,1,2,2,2,"",3,4,0,1,1,1,1,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,3
"35","2020-12-03","Western","NAKASEKE","M_86","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",20000,45000,11862500,"Liters",15000,35000,9125000,-0.230769230769231,"11",1,0,0,0,0,0,"",2,1,5,1,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,4,1,12,2,NA,1,2,1,1,1,1,1,1,1,2,3,99,99,1,1,2,2,2,2,"",1,1,0,2,2,2,2,2,2,2,2,5,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",5,2
"36","2020-12-03","Western","KYANKWANZI","M_63","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1000,2000,547500,"Liters",1200,1600,511000,-0.066666666666667,"",NA,NA,NA,NA,NA,NA,"",NA,1,1,0,2,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,4,NA,2,NA,NA,4,2,NA,1,NA,1,3,2,2,NA,1,1,1,1,1,4,1,1,1,1,1,2,2,2,"",3,2,4,1,1,1,1,1,1,1,2,4,1,"1 2 3",1,1,1,0,0,"",4,"",NA,NA,NA,NA,"",3,2
"37","2020-12-03","Western","KIRUHURA","M_33","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",10000,30000,7300000,"Liters",10000,35000,8212500,0.125,"11",1,0,0,0,0,0,"",3,1,10,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,1,3,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,"",3,1,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",1,2
"38","2020-12-03","Western","KIRUHURA","M_30","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",3500,6000,1733750,"Liters",3500,6000,1733750,0,"",NA,NA,NA,NA,NA,NA,"",NA,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,2,3,1,1,1,2,1,2,2,2,4,2,2,1,1,1,2,1,2,"",3,2,0,1,1,1,1,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,3
"39","2020-12-03","Western","KYANKWANZI","M_49","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,4000,1003750,"Liters",3500,6000,1733750,0.727272727272727,"11",1,0,0,0,0,0,"",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,1,16,1,NA,3,NA,2,2,NA,1,2,1,1,1,2,2,2,1,1,1,2,2,2,"",3,2,0,1,1,2,2,2,2,2,2,4,1,"1 3 2",1,1,1,0,0,"",1,"2",0,1,0,0,"",3,3
"40","2020-12-03","Western","KYANKWANZI","M_61","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,3000,821250,"Liters",2000,3000,912500,0.111111111111111,"11",1,0,0,0,0,0,"",3,1,3,0,4,0,4,NA,2,"3 4 5",0,0,1,1,1,0,"",1,3,NA,2,NA,NA,3,1,40,1,NA,2,3,2,2,NA,1,1,2,1,1,2,2,2,1,1,1,2,2,2,"",3,1,0,2,2,2,2,2,2,2,2,4,1,"3 2 1",1,1,1,0,0,"",4,"",NA,NA,NA,NA,"",4,4
"41","2020-12-07","Western","NAKASEKE","M_81","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",600,3400,730000,"Liters",900,1500,438000,-0.4,"11",1,0,0,0,0,0,"",3,1,4,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,2,2,NA,3,NA,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,NA,2,2,2,"",3,1,0,1,2,2,2,2,2,2,2,5,1,"4 3 2",0,1,1,1,0,"",2,"1",1,0,0,0,"",5,3
"42","2020-12-07","Western","NAKASEKE","M_83","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",3500,5000,1551250,"Liters",3500,5000,1551250,0,"",NA,NA,NA,NA,NA,NA,"",NA,1,3,1,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,3,NA,3,NA,2,2,NA,1,2,1,1,1,3,2,2,2,2,NA,1,2,2,"",2,2,0,2,2,2,2,2,2,2,2,2,1,"99",0,0,0,0,1,"We were not spending on many things",2,"1 2",1,1,0,0,"",4,4
"43","2020-12-07","Western","NAKASEKE","M_74","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1000,2000,547500,"Liters",1000,2000,547500,0,"",NA,NA,NA,NA,NA,NA,"",NA,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,1,NA,1,3,NA,2,2,NA,3,NA,2,2,2,2,NA,2,1,2,1,1,2,2,2,1,1,1,2,2,2,"",2,1,15,1,1,1,2,1,1,2,2,4,1,"2 3 4",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",2,5
"44","2020-12-04","Western","KIRUHURA","M_16","SW",2,"2019-03-01","99 5",1,0,0,1,"The cooler was owned by brookside and the manager was supplying milk to another processor so brookside took the cooler and the dairy is no longer in bussines.",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"45","2020-12-04","Western","KIRUHURA","M_14","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2700,3200,1076750,"Liters",2700,3200,1076750,0,"",NA,NA,NA,NA,NA,NA,"",NA,1,4,1,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,1,4,NA,3,1,60,3,NA,4,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,"",1,1,0,2,2,2,2,2,2,2,2,1,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,4
"46","2020-12-04","Western","MASINDI","M_67","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1000,3000,730000,"Liters",700,1500,401500,-0.45,"11",1,0,0,0,0,0,"",3,1,2,0,1,0,4,NA,2,"5 3 2",0,1,1,0,1,0,"",2,NA,NA,2,NA,NA,3,1,120,1,NA,2,3,2,2,NA,2,2,2,2,2,4,2,2,2,2,NA,2,2,2,"",3,3,4,1,1,1,1,2,2,2,2,5,1,"1 2 3 4",1,1,1,1,0,"",4,"",NA,NA,NA,NA,"",3,1
"47","2020-12-04","Western","MASINDI","M_65","C",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"48","2020-12-04","Western","KIRUHURA","M_31","SW",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"49","2020-12-04","Western","KYANKWANZI","M_47","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",6500,12000,3376250,"Liters",3500,5000,1551250,-0.540540540540541,"14",0,0,0,1,0,0,"",2,1,0,0,4,0,4,NA,2,"3 4 5",0,0,1,1,1,0,"",2,NA,NA,2,NA,NA,3,1,36,1,NA,3,NA,2,2,NA,1,1,1,1,1,2,2,2,2,2,NA,2,1,2,"",3,5,3,1,1,1,1,1,1,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,2
"50","2020-12-04","Western","KYANKWANZI","M_50","C",2,"2020-04-01","5 99",1,0,0,1,"no customers",1,2,2,2,2,1,1,2,1,2,"",1,"2021-02-01",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"51","2020-12-05","Western","KIRUHURA","M_6","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2500,3000,1003750,"Liters",2300,2700,912500,-0.090909090909091,"",NA,NA,NA,NA,NA,NA,"",NA,1,1,1,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,1,NA,3,NA,2,2,NA,2,1,2,1,1,3,2,2,2,2,NA,2,2,2,"",3,4,0,1,1,1,1,1,2,2,2,4,1,"2 4 3",0,1,1,1,0,"",5,"2 1",1,1,0,0,"",3,3
"52","2020-12-05","Western","NAKASEKE","M_83","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",700,2000,492750,"Liters",0,500,91250,-0.814814814814815,"11 14 13",1,0,1,1,0,0,"",2,1,6,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,1,12,3,NA,2,2,1,1,3,1,2,1,1,2,2,2,6,1,1,2,2,1,2,"",1,2,99,1,1,1,2,2,2,2,2,4,1,"3 4 2",0,1,1,1,0,"",1,"99",0,0,0,1,"Masks",5,3
